Unnamed: 0,text,label
0,"['triple', 'talaq', 'par', 'burbak', 'kuchh', 'nahi', 'bolega']",0
1,"['batao', 'ye', 'us', 'site', 'pr', 'se', 'akki', 'sir', 'ke', 'verdict', 'nikaal', 'laaye', 'jaha', 'ajay', 'ki', 'ek', 'bi', 'movie', 'hit', 'nai']",1
2,"['hindu', 'baheno', 'par', 'julam', 'bardas', 'nahi', 'hoga', 'tripletalaq', 'hindu', 'daram', 'par', 'lago', 'hoga', 'hamari', 'hindu', 'baheno', 'ki', 'soraksa', 'ke', 'liye']",0
3,"['naa', 'bhai', 'aisa', 'nhi', 'hai', 'mere', 'handle', 'karne', 'se', 'bhi', 'kuchh', 'hona', 'nhi', 'hai', 'politics', 'se', 'mera', 'door', 'door', 'tak', 'ka', 'naata', 'nhi', 'hai']",0
4,"['rememberingrajiv', 'aaj', 'agar', 'musalman', 'auraten', 'triple', 'talaq', 'ki', 'wajah', 'se', 'itni', 'jaleel', 'ho', 'rahi', 'hai', 'i', 'ka', 'sabse', 'bada', 'reason', 'rajib', 'gandhi', 'hai']",0
5,"['cricket', 'se', 'sanyas', 'le', 'liya', 'kya', 'viru', 'aur', 'social', 'service', 'suru', 'kardiyakhel', 'hi', 'bhul', 'gaye2', 'inning', '0', 'n', '0']",0
6,"['sohail', 'bahi', 'hame', 'bhi', 'treen', 'kardo', 'muje', 'bhi', 'shock', 'cricket']",0
7,"['bhai', 'triple', 'talaq', 'se', 'aap', 'kya', 'samjhte', 'hai', 'samjhaye', 'aap', 'zara', 'agar', 'triple', 'talaq', 'pta', 'hota', 'apko', 'toh', 'aisa', 'nhi', 'kehte']",0
8,"['bachcho', 'ki', 'death', 'par', 'politics', 'ke', 'bajay', 'unke', 'liye', 'prayer', 'aur', 'unki', 'family', 'ko', 'console', 'kiya', 'jana', 'jyada', 'zaruri', 'thodi', 'humanity', 'bhi', 'zaruri']",0
9,"['spn_cricket', 'lijiye', 'thakur', 'ne', 'phir', 'pahni', 'no10', 'jarsi', 'inka', 'kharab', 'din', 'chalu', 'ho', 'gayabccislsvind']",0
10,"['itna', 'hungama', 'tripletalaq', 'par', 'muslim', 'bhi', 'nahi', 'hua', 'jitna', 'ramrahimverdict', 'par', 'dharamguruao', 'ho', 'raha', 'h', 'congresswithramrahim']",0
11,"['bollywood', 'amitdey10510709', 'bhaag', 'milkha', 'bhaag']",0
12,"['bhau', 'bollywood', 'ka', 'main', 'adda', 'mumbai', 'hai', 'jaha', 'rahne', 'k', 'liye', 'heroin', 'ki', 'cha', 'mud', 'jati', 'hai', 'aao', 'kabhi', 'hawelimaharashtra', 'pe']",0
13,"['bhai', 'kuchh', 'bhi', 'karna', 'i', 'simplysajidk', 'ke', 'saath', 'movie', 'mat', 'karnabollywood', 'se', 'nafrat', 'ho', 'jaati', 'haiitni', 'sadi', 'hui', 'ghatiya', 'filmein', 'banata', 'h', 'ye']",0
14,"['veerupanti', 'tag', 'line', 'cricket', 'jo', 'hai', 'anishchittaon', 'ka', 'khel', 'hai']",0
15,"['chayawadi', 'baat', 'kyu', 'kr', 'rhi', 'hai', 'madam', 'aapkhul', 'kr', 'condem', 'kegeyemere', 'smjh', 'se', 'administrator', 'ko', 'politics', 'se', 'dur', 'rhna', 'chahiyedesh', 'ke', 'liye']",0
16,"['abusing', 'tweet', 'ke', 'liye', 'account', 'suspend', 'karte', 'ho', 'woh', 'bhi', 'wo', 'desh', 'jahan', 'gali', 'gali', 'yahi', 'language', 'use', 'hota', 'hai', 'irony']",1
17,"['hindu', 'married', 'men', 'mr', 'modi', 'triple', 'talaq', 'toh', 'nipat', 'gaya', 'ab', 'woh', 'saat', 'janmoon', 'wala', 'masla', 'bhi', 'nipata', 'dijeyega', 'narendramodi']",0
18,"['tripletalaq', 'modiji', 'woh', 'teen', 'talaak', 'ka', 'matter', 'clear', 'ho', 'jaaye', 'toh', 'woh', 'saat', 'janam', 'wala', 'matter', 'bhi', 'dekh', 'lijiye', 'please']",0
19,"['muslim', 'triple', 'talaq', 'ka', 'darr', 'dikhake', 'apni', 'biwiyo', 'ka', 'roj', 'rape', 'karte', 'hn', 'talak', 'nikah', 'baccho', 'ki', 'factory']",0
20,"['abhi', 'chaat', 'k', 'kya', 'matlab', 'jisko', 'samjhana', 'tha', 'samajh', 'gaya', 'tum', 'sale', 'intrviw', 'saare', 'englsh', 'mein', 'dete', 'bollywood', 'kaho', 'hindi', 'film', 'indutry', 'nahi']",0
21,"['congress', 'isame', 'kuch', 'nahi', 'bolti', 'esaliye', 'modi', 'pachad', 'raha', 'hai', 'har', 'jagah', 'avasarvadi', 'politics', 'congress', 'karate', 'hai', 'modi', 'gorakshko', 'bhi', 'data', 'hai']",0
22,"['tripletalaq', 'aur', 'burkha', 'pe', 'bolne', 'ko', 'bolo', 'toh', 'anand', 'bhais', 'kalti', 'maar', 'lete', 'hai']",0
23,"['canadian', 'ko', 'itna', 'bhaw', 'matt', 'diya', 'kar', 'khan', 'khan', 'hota', 'hai', 'aur', 'baki', 'sab', 'bachhe', 'hai4', 'khan', 'hi', 'superstar', 'hai', 'bollywood', 'ke', 'baki', 'sab', 'star']",0
24,"['kaafiron', 'ko', 'masjid', 'mein', 'namaz', 'perhtay', 'huaay', 'maara', 'gyaabohat', 'khoobmashallah', 'irony']",1
25,"['bhai', 'politics', 'apni', 'jagah', 'par', 'kisi', 'bhi', 'hindu', 'ladki', 'ko', 'musalman', 'kehna', 'kaha', 'sahi', 'hai', 'yaar', 'ijjat', 'sabse', 'badi', 'chij', 'hai']",0
26,"['ho', 'gaya', 'lasho', 'pe', 'politics', 'khel', 'ke', 'politician', 'se', 'toh', 'tu', 'zyada', 'harami', 'hai', 'bc', 'mar', 'kyu', 'nahi', 'jaate', 'kahi', 'jaake', 'sharam', 'karo', 'madarchodon']",0
27,"['jalanjalans', 'bhai', 'aap', 'apne', 'sab', 'kharche', 'ka', 'hisaab', 'deti', 'hai', 'sab', 'jagah', 'u', 'r', 'saying', 'jo', 'party', 'ka', '80', 'ka', 'pata', 'nahi', 'wo', 'hisaab', 'deti', 'hi']",1
28,"['yes', 'sir', 'kahete', 'na', 'ki', 'cricket', 'kuch', 'bhi', 'ho', 'sakta', 'kal', 'ke', 'match', 'dekh', 'bhi', 'liya']",0
29,"['yeh', 'kya', 'vahiyaat', 'kisam', 'ki', 'odi', 'cricket', 'hai', 'slvind']",0
30,"['tuje', 'pata', 'hai', 'kolkta', 'sonagachi', 'main', '90', 'prostitute', 'teri', 'bahan', 'hai', 'jo', 'triple', 'talaq', 'hallala', 'suvaro', 'ki', 'tarah', '10', 'bachee', 'hone', 'ki', 'wajah', 'se']",0
31,"['muslim', 'bahno', 'ke', 'haq', 'ke', 'liye', 'bohot', 'josh', 'se', 'ladh', 'rahe', 'show', 'bhi', 'kiya', 'triple', 'talaq', 'ek', 'aurat', 'ki', 'ismat', 'lutne', 'wala', 'abhi', 'bhi', 'baba', 'hi', 'hai']",0
32,"['pakistani', 'sabiq', 'legspinner', 'abdul', 'qadir', 'ne', 'kaha', 'hai', 'ke', 'qoumi', 'cricket', 'team', 'ko', 'world', 'eleven', 'ke', 'khilaaf', 'series', 'ko', 'aasan', 'na', 'samjha', 'jayeansar']",0
33,"['aap', 'ek', 'apeel', 'ye', 'bhi', 'kar', 'dete', 'ki', 'kripya', 'hindu', 'mujhe', 'vote', 'na', 'den', 'tab', 'hoti', 'different', 'politics']",0
34,"['arvindkejriwal', 'ji', 'kya', 'aapne', 'triple', 'talaq', 'ka', 'swagat', 'kiya', 'ki', 'nhi']",0
35,"['ek', 'debate', 'program', 'inhone', 'kaha', 'tha', 'ki', 'yogi', 'jaise', 'sanki', 'ko', 'party', 'se', 'nikal', 'ab', 'yogi', 'inka', 'role', 'model', 'hai', 'politics', 'kya', 'kya', 'na', 'karwaye']",0
36,"['triple', 'talaq', 'jab', 'jashoda', 'ko', 'milega']",0
37,"['vese', 'bhi', 'padhkar', 'karna', 'kya', 'netaon', 'ke', 'bachho', 'ko', 'aana', 'inhe', 'politics', 'hi']",0
38,"['sharjeel', 'khan', 'k', 'khilaf', 'faisla', 'sakht', 'palesi', 'ka', 'akaas', 'haicricket', 'bad', 'unwaani', 'ki', 'mashkon', 'ko', 'qatai', 'bardasht', 'nai', 'krenge', 'najam', 'rp_bebarg', 'blch']",0
39,"['news', 'channel', 'hai', 'kya', 'jab', 'dheko', 'chalu', 'ho', 'jaata', 'hai', 'railway', 'ke', 'pahele', 'toh', 'tera', 'tweet', 'aa', 'jaata', 'hai', 'cricket', 'khel', 'bhai', 'tu']",0
